name	is_dir	size	date
she_lf.lipsync_ps4	False	127.4 KiB	10-Feb-2024 22:36
she_lf.mogg	False	27.0 MiB	10-Feb-2024 22:36
she_lf.mogg.dta	False	390 B	10-Feb-2024 22:36
she_lf.moggsong	False	55 B	10-Feb-2024 22:36
she_lf.png_ps4	False	43.0 KiB	10-Feb-2024 22:36
she_lf.rbmid_ps4	False	596.4 KiB	10-Feb-2024 22:36
she_lf.rbsong	False	31.1 KiB	10-Feb-2024 22:36
she_lf.songdta_ps4	False	1.2 KiB	10-Feb-2024 22:36
